age, C, mean_A, med_A, H, H_bad, H_good, H_work, H_work_bad, H_work_good, P, P_bad, P_good, B
 30,  40423.6816902039,  37760.0216523721,  24065.8103637522,   2486.2675081508,   1164.2210988298,   2566.3915329581,   2653.0293532097,   2078.9662479103,   2673.3245134981,      0.9371428571,      0.5600000000,      0.9600000000,      0.0000000000
 31,  41443.6170622876,  42497.1248390912,  30526.3007730160,   2558.6867477059,   1510.9820549288,   2620.2231420137,   2665.3939698324,   2171.3371752310,   2686.0946735168,      0.9599656849,      0.6958762887,      0.9754768392,      0.0000000000
 32,  42425.0737629091,  48196.3484249585,  37947.0480015998,   2599.1132117437,   1363.6850208049,   2671.1235981008,   2681.4171814556,   2200.2312940718,   2698.9819423755,      0.9693057946,      0.6197916667,      0.9896782028,      0.0000000000
 33,  43179.4217048938,  54499.7969687716,  45442.3736463481,   2605.7900597797,   1497.2138190717,   2677.7050423471,   2688.4522407451,   2144.6576327243,   2713.4077762450,      0.9692528736,      0.6981132075,      0.9868421053,      0.0000000000
 34,  43951.8538662217,  61365.4538421713,  53054.9677359731,   2619.5950700095,   1425.4051137902,   2701.4844796764,   2695.6153000542,   2177.1598655837,   2719.0428746233,      0.9717985612,      0.6547085202,      0.9935424354,      0.0000000000
 35,  44508.8772580145,  68385.8949104910,  60173.3148762954,   2607.8297210693,   1421.3759416989,   2701.6526538091,   2684.5078150360,   2161.8532286918,   2711.7838512609,      0.9714368148,      0.6574803150,      0.9962640100,      0.0000000000
 36,  45190.2695390980,  75721.3895097520,  68006.4032842642,   2598.8284232294,   1416.1753983721,   2697.2594947601,   2684.1121722018,   2190.1317207383,   2710.8306117149,      0.9682264587,      0.6466165414,      0.9949937422,      0.0000000000
 37,  45810.1080381372,  83466.4394084945,  75384.7808006201,   2591.0417378512,   1371.4893187181,   2694.3936377777,   2679.4255673291,   2178.2477414934,   2706.2856651828,      0.9670138889,      0.6296296296,      0.9956057753,      0.0000000000
 38,  46275.3385308549,  91212.5165822896,  80917.0212879478,   2558.9906733937,   1382.1603064607,   2663.0363010354,   2654.4811469118,   2174.1847517359,   2681.6648538566,      0.9640266899,      0.6357142857,      0.9930533628,      0.0000000000
 39,  46849.9731562155,  99226.8788801436,  86912.3297318432,   2562.3273732967,   1425.7399515087,   2671.3499398863,   2650.9758835040,   2145.7386270206,   2683.3214184901,      0.9665600465,      0.6644518272,      0.9955385596,      0.0000000000
 40,  47199.6388318415, 107419.6323082390,  92413.6452464485,   2554.6053985568,   1508.2343315273,   2651.8567497244,   2633.0902632113,   2216.6474266386,   2659.5014360625,      0.9701928697,      0.6804123711,      0.9971255190,      0.0000000000
 41,  47303.8066075926, 115235.7164392928,  97825.2235264141,   2498.3817445831,   1376.0425347567,   2609.7120108074,   2600.4809070638,   2119.1055035254,   2631.7492021945,      0.9607383534,      0.6493506494,      0.9916264090,      0.0000000000
 42,  47855.6082192509, 123707.6270620888, 103687.9514631036,   2504.8804358223,   1475.7634447976,   2603.5220772907,   2586.0992863171,   2114.3149353350,   2617.8363966031,      0.9685940710,      0.6979865772,      0.9945320039,      0.0000000000
 43,  48240.4850627295, 131727.6721830522, 109077.6320394887,   2459.3950509120,   1367.5945344865,   2590.7720386737,   2569.3248543591,   2091.6151703912,   2607.1475106413,      0.9572145176,      0.6538461538,      0.9937190083,      0.0000000000
 44,  48608.8597824226, 139793.7957417983, 115589.2646840175,   2452.0269815070,   1464.1838831266,   2565.2309297032,   2551.8319650281,   2099.4702786980,   2588.3103149421,      0.9608888889,      0.6974063401,      0.9910832232,      0.0000000000
 45,  48896.8326589426, 147413.2226232261, 122282.1563684397,   2428.0971439261,   1516.7298862667,   2543.6225709534,   2535.2412689844,   2123.4218407734,   2572.9587878504,      0.9577380952,      0.7142857143,      0.9885982562,      0.0000000000
 46,  48981.3099404976, 155053.6159589206, 127823.6228258887,   2394.0602510346,   1456.8646719676,   2512.5489994305,   2501.5913415365,   2098.7782247502,   2537.2905685250,      0.9570149254,      0.6941489362,      0.9902488231,      0.0000000000
 47,  49014.3829041120, 162043.8293880923, 134296.2177553826,   2356.3269201864,   1473.3234267348,   2489.5242024227,   2463.4662752906,   2031.0483832274,   2511.1948518170,      0.9565086983,      0.7254004577,      0.9913703832,      0.0000000000
 48,  49305.3797961029, 168262.6007451534, 140427.7502088422,   2321.9117369833,   1500.9997658047,   2461.7643924041,   2439.2911612858,   2058.0280075056,   2487.1524320129,      0.9518796992,      0.7293388430,      0.9897923266,      0.0000000000
 49,  49469.8866281256, 174392.4008765216, 146541.0903591817,   2293.0705511508,   1541.3987605125,   2424.0517664469,   2429.9483183247,   2115.6453575661,   2470.6174582271,      0.9436705027,      0.7285714286,      0.9811522048,      0.0000000000
 50,  49828.9084292966, 179984.8388731981, 149656.3558666425,   2289.9411407114,   1480.7687182288,   2438.8148548046,   2428.2994584216,   2080.4188603214,   2474.5222465294,      0.9430225472,      0.7117647059,      0.9855699856,      0.0000000000
 51,  49942.9703993559, 184996.2267388107, 152982.8572994809,   2254.4804381822,   1518.7275650177,   2407.3535351619,   2401.7839624018,   2093.3812382677,   2449.0785775950,      0.9386691199,      0.7254901961,      0.9829629630,      0.0000000000
 52,  50211.7703044908, 189941.9362361660, 157360.7389695944,   2245.6657563563,   1559.9823146833,   2398.6737860791,   2396.0683127866,   2077.6288163954,   2450.5770828412,      0.9372294372,      0.7508474576,      0.9788199697,      0.0000000000
 53,  50540.5908902291, 194704.3731577967, 161305.6529001379,   2228.2759634261,   1513.3413202116,   2388.5482285079,   2382.3865963794,   2043.3594784424,   2439.8847476825,      0.9353125000,      0.7406143345,      0.9789594491,      0.0000000000
 54,  50625.8546685812, 198404.0136153841, 161342.4443921999,   2189.8032966463,   1484.3788679234,   2363.2501514698,   2382.8665718566,   2083.4555410763,   2436.9521610539,      0.9189785624,      0.7124600639,      0.9697564808,      0.0000000000
 55,  50723.8643661823, 201815.0220297067, 163857.6712898344,   2174.9178232886,   1519.8246230652,   2345.5944539369,   2363.0595035039,   2067.8536276087,   2421.4155759456,      0.9203821656,      0.7349768875,      0.9686872742,      0.0000000000
 56,  50736.4932117766, 204953.5326638022, 164304.5420945261,   2137.6360831850,   1499.6021146464,   2317.5537364251,   2340.2126285505,   2054.7868009541,   2401.0691863863,      0.9134366925,      0.7298091043,      0.9652173913,      0.0000000000
 57,  50602.1754548201, 206260.9105307903, 163374.1401035346,   2081.8263940075,   1503.4822990297,   2252.7063576360,   2320.2266448165,   2079.2205603645,   2374.5014734867,      0.8972513089,      0.7230989957,      0.9487070793,      0.0000000000
 58,  50595.2220263117, 207079.4460072394, 162366.5554851002,   2048.5632365608,   1536.0875809662,   2218.4870027518,   2311.9826613142,   2083.1115756268,   2371.8097998390,      0.8860634082,      0.7374005305,      0.9353562005,      0.0000000000
 59,  50257.6945281810, 206264.6333256286, 159858.3628638448,   1982.7775426804,   1552.9174754020,   2131.5454957574,   2287.9967708939,   2084.1073971800,   2345.8613628395,      0.8665997994,      0.7451235371,      0.9086408641,      0.0000000000
 60,  50215.4063427847, 205449.5160336522, 157227.5418426338,   1982.2354558031,   1633.1378494545,   2109.4448756409,   2275.2413987631,   2090.6292339922,   2333.3705624397,      0.8712198437,      0.7811704835,      0.9040333797,      0.0000000000
 61,  50197.4327423350, 203740.4150138554, 154745.6499616354,   1954.5420407816,   1657.5485589163,   2070.3239824667,   2258.8932705489,   2141.6579792982,   2298.1586791018,      0.8652653343,      0.7739557740,      0.9008620690,      0.0000000000
 62,  50046.0657373823, 201080.0883747127, 152246.4248414246,   1926.5403774598,   1695.5758670764,   2020.4689700912,   2272.4924386511,   2149.9798130769,   2317.5632806229,      0.8477653631,      0.7886473430,      0.8718074656,      0.0000000000
 63,  49706.9581141250, 197656.3894375826, 151150.7560513788,   1913.4887501748,   1658.4480535122,   2025.0363238692,   2255.9025265219,   2121.6182306192,   2308.2333287871,      0.8482142857,      0.7816901408,      0.8773100616,      0.0000000000
 64,  49457.4635659613, 193688.8454493290, 148526.1239624173,   1880.7911190806,   1591.3084706230,   2020.0043991887,   2249.2693096563,   2101.3733718418,   2310.8850326719,      0.8361787141,      0.7572706935,      0.8741258741,      0.0000000000
 65,  49250.0511144467, 190718.0762054730, 151212.3514623791,   1816.0853953478,   1542.5543945409,   1966.6139564588,   2225.5301026625,   2093.9355398236,   2287.5864015263,      0.8160237389,      0.7366771160,      0.8596894767,      0.1172106825
 66,  48553.9614323159, 190123.3142183162, 152898.1124569080,   1709.5192214182,   1490.0020655379,   1839.3781654390,   2203.1950160912,   2099.2568556071,   2256.7389169466,      0.7759273278,      0.7097759674,      0.8150602410,      0.3485995458
 67,  47507.8308416727, 195409.6210701652, 158084.9585019162,   1646.0210043195,   1486.4749221403,   1752.7624799453,   2207.4942136727,   2132.0532424059,   2252.7212636112,      0.7456513336,      0.6972034716,      0.7780645161,      0.6841901817
 68,  46422.5833376649, 203428.8721143438, 164229.8104489230,   1492.1544470805,   1336.7723553096,   1610.6129895177,   2165.0364868999,   2089.1842238695,   2215.9440459807,      0.6892052195,      0.6398537477,      0.7268292683,      0.8497429814
 69,  45007.6786284117, 210633.6542065486, 175408.7441907786,   1253.1411642342,   1140.8437773975,   1348.9117658383,   2133.4684869590,   2043.0324381286,   2203.8324164435,      0.5873727088,      0.5584070796,      0.6120754717,      0.9588594705
 70,  44780.6071150686, 220012.3763242019, 186700.7689372523,   1131.3158705411,   1106.5658185349,   1153.0943523223,   2058.5105289663,   1997.9162428652,   2109.5627890752,      0.5491596639,      0.5529622980,      0.5458135861,      1.0000000000
 71,  35544.1322753388, 221433.0479188951, 186746.1080671149,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 72,  36991.7867233521, 224091.3370433959, 190422.5997486103,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 73,  38594.4553019403, 227578.1359594762, 193312.4233004861,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 74,  40171.4968921816, 230449.4115340130, 195653.9299670612,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 75,  41842.3682374580, 235713.0913042570, 201142.5549355789,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 76,  43496.0255503334, 241017.4343043284, 207298.2446557420,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 77,  45028.9457380738, 247743.5435709751, 216720.6138810098,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 78,  46567.4159411383, 256328.6376915050, 227563.7366015145,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 79,  47907.3252882992, 266605.0618466616, 239589.4329896052,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 80,  49164.2841518492, 280733.8860720230, 257588.3199861271,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 81,  50471.8109794716, 297915.5387864957, 277761.0418788637,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
 82,  51823.3459321051, 317493.1583495501, 304713.6005675455,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      0.0000000000,      1.0000000000
