C, utils, Evtpo, value
      1.0000000000,               NaN,     -1.5562330557,******************
     12.2975394299,               NaN,     -1.5563674185,               NaN
     23.5950788599,               NaN,     -1.5565017813,******************
     34.8926182898,               NaN,     -1.5566361441,               NaN
     46.1901577198,               NaN,     -1.5567705069,******************
     57.4876971497,               NaN,     -1.5569048697,               NaN
     68.7852365797,               NaN,     -1.5570392325,******************
     80.0827760096,               NaN,     -1.5571735954,               NaN
     91.3803154396,               NaN,     -1.5573079583,******************
    102.6778548695,               NaN,     -1.5574423212,               NaN
    113.9753942995,               NaN,     -1.5575766841,******************
    125.2729337294,               NaN,     -1.5577110471,               NaN
    136.5704731594,               NaN,     -1.5578454100,******************
    147.8680125893,               NaN,     -1.5579797730,               NaN
    159.1655520193,               NaN,     -1.5581141360,******************
    170.4630914492,               NaN,     -1.5582484990,               NaN
    181.7606308792,               NaN,     -1.5583828620,******************
    193.0581703091,               NaN,     -1.5585172251,               NaN
    204.3557097391,               NaN,     -1.5586515881,******************
    215.6532491690,               NaN,     -1.5587859512,               NaN
    226.9507885990,               NaN,     -1.5589203143,******************
    238.2483280289,               NaN,     -1.5590546774,               NaN
    249.5458674589,               NaN,     -1.5591890406,******************
    260.8434068888,               NaN,     -1.5593234037,               NaN
    272.1409463188,               NaN,     -1.5594577669,******************
    283.4384857487,               NaN,     -1.5595921301,               NaN
    294.7360251787,               NaN,     -1.5597264933,******************
    306.0335646086,               NaN,     -1.5598608565,               NaN
    317.3311040386,               NaN,     -1.5599952198,******************
    328.6286434685,               NaN,     -1.5601295831,               NaN
    339.9261828985,               NaN,     -1.5602639463,******************
    351.2237223284,               NaN,     -1.5603983097,               NaN
    362.5212617584,               NaN,     -1.5605326730,******************
    373.8188011883,               NaN,     -1.5606670363,               NaN
    385.1163406183,               NaN,     -1.5608013997,******************
    396.4138800482,               NaN,     -1.5609357631,               NaN
    407.7114194782,               NaN,     -1.5610701264,******************
    419.0089589081,               NaN,     -1.5612044899,               NaN
    430.3064983381,               NaN,     -1.5613388533,******************
    441.6040377680,               NaN,     -1.5614732167,               NaN
    452.9015771980,               NaN,     -1.5616075802,******************
    464.1991166279,               NaN,     -1.5617419437,               NaN
    475.4966560579,               NaN,     -1.5618763072,******************
    486.7941954878,               NaN,     -1.5620106707,               NaN
    498.0917349178,               NaN,     -1.5621450343,******************
    509.3892743477,               NaN,     -1.5622793978,               NaN
    520.6868137777,               NaN,     -1.5624137614,******************
    531.9843532076,               NaN,     -1.5625481250,               NaN
    543.2818926376,               NaN,     -1.5626824886,******************
    554.5794320675,               NaN,     -1.5628168523,               NaN
    565.8769714975,               NaN,     -1.5629512159,******************
    577.1745109274,               NaN,     -1.5630855796,               NaN
    588.4720503574,               NaN,     -1.5632199433,******************
    599.7695897873,               NaN,     -1.5633543070,               NaN
    611.0671292173,               NaN,     -1.5634886707,******************
    622.3646686472,               NaN,     -1.5636230344,               NaN
    633.6622080772,               NaN,     -1.5637573982,******************
    644.9597475071,               NaN,     -1.5638917620,               NaN
    656.2572869371,               NaN,     -1.5640261258,******************
    667.5548263670,               NaN,     -1.5641604896,               NaN
    678.8523657970,               NaN,     -1.5642948534,******************
    690.1499052269,               NaN,     -1.5644292173,               NaN
    701.4474446569,               NaN,     -1.5645635811,******************
    712.7449840868,               NaN,     -1.5646979450,               NaN
    724.0425235168,               NaN,     -1.5648323089,******************
    735.3400629467,               NaN,     -1.5649666729,               NaN
    746.6376023767,               NaN,     -1.5651010368,******************
    757.9351418066,               NaN,     -1.5652354008,               NaN
    769.2326812366,               NaN,     -1.5653697648,******************
    780.5302206665,               NaN,     -1.5655041288,               NaN
    791.8277600965,               NaN,     -1.5656384928,******************
    803.1252995264,               NaN,     -1.5657728568,               NaN
    814.4228389564,               NaN,     -1.5659072209,******************
    825.7203783863,               NaN,     -1.5660415849,               NaN
    837.0179178163,               NaN,     -1.5661759490,******************
    848.3154572462,               NaN,     -1.5663103131,               NaN
    859.6129966762,               NaN,     -1.5664446773,******************
    870.9105361061,               NaN,     -1.5665790414,               NaN
    882.2080755361,               NaN,     -1.5667134056,******************
    893.5056149660,               NaN,     -1.5668477698,               NaN
    904.8031543960,               NaN,     -1.5669821340,******************
    916.1006938259,               NaN,     -1.5671164982,               NaN
    927.3982332559,               NaN,     -1.5672508624,******************
    938.6957726858,               NaN,     -1.5673852267,               NaN
    949.9933121158,               NaN,     -1.5675195910,******************
    961.2908515457,               NaN,     -1.5676539553,               NaN
    972.5883909757,               NaN,     -1.5677883196,******************
    983.8859304056,               NaN,     -1.5679226839,               NaN
    995.1834698356,               NaN,     -1.5680570482,******************
   1006.4810092655,               NaN,     -1.5681914126,               NaN
   1017.7785486955,               NaN,     -1.5683257770,******************
   1029.0760881254,               NaN,     -1.5684601414,               NaN
   1040.3736275554,               NaN,     -1.5685945058,******************
   1051.6711669853,               NaN,     -1.5687288703,               NaN
   1062.9687064153,               NaN,     -1.5688632347,******************
