age,M,A,AIME,Wage,Aopt,Copt,Hopt,Bopt,nextAIMEopt,Iopt,pbopt,ssopt,value
95,1,0,2e3,0,21.77,2093.78,0,1,2e3,315.55,339.85,1800,-0.7014577972
95,1,0,3750,0,87.5,3895.04,0,1,3750,624.94,673.06,3357.6,-0.6391107304
95,1,0,5500,0,2.89,4650.89,0,1,5500,736.17,792.86,3917.6,-0.6276351496
95,1,0,7250,0,90.4,5234.61,0,1,7250,847.41,912.66,4477.6,-0.620916683
95,1,0,9e3,0,171.68,5891.6,0,1,9e3,1025.68,1104.67,5037.6,-0.6149692285
95,1,0,15960,0,180.87,12335.71,0,1,15960,5251.78,5858.06,7264.8,-0.5909515647
95,1,0,22920,0,2950.21,15171.37,0,1,22920,8719.38,10419.81,9402.2,-0.5836711737
95,1,0,29880,0,5663.1,15171.37,0,1,29880,10388.26,12647.96,10446.2,-0.580516353
95,1,0,36840,0,8375.99,15171.37,0,1,36840,12057.15,14876.12,11490.2,-0.5773958301
95,1,0,43800,0,11088.87,15171.37,0,1,43800,13726.04,17104.27,12534.2,-0.574309052
95,1,5714.29,2e3,0,124.24,7917.82,0,1,2e3,527.78,339.85,1800,-0.6031841368
95,1,5714.29,3750,0,171.13,9737.92,0,1,3750,837.17,673.06,3357.6,-0.5967545104
95,1,5714.29,5500,0,249.33,10330.96,0,1,5500,948.4,792.86,3917.6,-0.5950784045
95,1,5714.29,7250,0,291.41,10960.12,0,1,7250,1059.64,912.66,4477.6,-0.5935392231
95,1,5714.29,9e3,0,13.38,11976.42,0,1,9e3,1237.91,1104.67,5037.6,-0.5917983425
95,1,5714.29,15960,0,3241.44,15171.37,0,1,15960,5433.72,5858.06,7264.8,-0.583330838
95,1,5714.29,22920,0,8835.7,15171.37,0,1,22920,8890.58,10419.81,9402.2,-0.5768704037
95,1,5714.29,29880,0,11548.58,15171.37,0,1,29880,10559.46,12647.96,10446.2,-0.5737892898
95,1,5714.29,36840,0,14261.47,15171.37,0,1,36840,12228.35,14876.12,11490.2,-0.570741289
95,1,5714.29,43800,0,16519.22,15626.51,0,1,43800,13897.24,17104.27,12534.2,-0.5677219804
95,1,11428.57,2e3,0,84.63,13883.95,0,1,2e3,740.01,339.85,1800,-0.5886608556
95,1,11428.57,3750,0,664.2,15171.37,0,1,3750,1049.4,673.06,3357.6,-0.586356615
95,1,11428.57,5500,0,1335.44,15171.37,0,1,5500,1160.63,792.86,3917.6,-0.5855655085
95,1,11428.57,7250,0,2006.67,15171.37,0,1,7250,1271.87,912.66,4477.6,-0.5847765571
95,1,11428.57,9e3,0,2744.95,15171.37,0,1,9e3,1450.14,1104.67,5037.6,-0.5839112852
95,1,11428.57,15960,0,9137.67,15171.37,0,1,15960,5615.67,5858.06,7264.8,-0.5765257854
95,1,11428.57,22920,0,14721.18,15171.37,0,1,22920,9061.78,10419.81,9402.2,-0.5702280362
95,1,11428.57,29880,0,16978.93,15626.51,0,1,29880,10730.66,12647.96,10446.2,-0.5672132861
